;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
115;sera;6132382;0,012650996;;;;;;;;;;;;;;;;;;;;;;
116;site;6085085;0,012553423;;;;;;;;;;;;;;;;;;;;;;
117;trop;6035652;0,012451443;;;;;;;;;;;;;;;;;;;;;;
118;vers;5899903;0,012171396;;;;;;;;;;;;;;;;;;;;;;
119;grand;5872718;0,012115314;;;;;;;;;;;;;;;;;;;;;;
120;France;5815827;0,011997948;;;;;;;;;;;;;;;;;;;;;;
121;jour;5734556;0,011830288;;;;;;;;;;;;;;;;;;;;;;
122;déj?;5658948;0,01167431;;;;;;;;;;;;;;;;;;;;;;
123;pays;5639964;0,011635146;;;;;;;;;;;;;;;;;;;;;;
124;chaque;5441958;0,011226663;;;;;;;;;;;;;;;;;;;;;;
125;place;5427020;0,011195846;;;;;;;;;;;;;;;;;;;;;;
126;également;5331370;0,010998522;;;;;;;;;;;;;;;;;;;;;;
127;vos;5329904;0,010995498;;;;;;;;;;;;;;;;;;;;;;
128;jamais;5326728;0,010988946;;;;;;;;;;;;;;;;;;;;;;
129;mes;5269047;0,010869951;;;;;;;;;;;;;;;;;;;;;;
130;chez;5234780;0,010799259;;;;;;;;;;;;;;;;;;;;;;
131;cet;5227203;0,010783627;;;;;;;;;;;;;;;;;;;;;;
132;petit;5194134;0,010715407;;;;;;;;;;;;;;;;;;;;;;
133;doit;5060540;0,010439805;;;;;;;;;;;;;;;;;;;;;;
134;travail;5033719;0,010384473;;;;;;;;;;;;;;;;;;;;;;
135;vraiment;4966575;0,010245957;;;;;;;;;;;;;;;;;;;;;;
136;plusieurs;4926923;0,010164155;;;;;;;;;;;;;;;;;;;;;;
137;premier;4896227;0,01010083;;;;;;;;;;;;;;;;;;;;;;
138;elles;4777388;0,009855667;;;;;;;;;;;;;;;;;;;;;;
139;homme;4770623;0,009841711;;;;;;;;;;;;;;;;;;;;;;
140;chose;4756697;0,009812982;;;;;;;;;;;;;;;;;;;;;;
141;partie;4716405;0,00972986;;;;;;;;;;;;;;;;;;;;;;
142;ceux;4679373;0,009653464;;;;;;;;;;;;;;;;;;;;;;
143;personnes;4568322;0,009424368;;;;;;;;;;;;;;;;;;;;;;
144;part;4531956;0,009349345;;;;;;;;;;;;;;;;;;;;;;
145;moment;4503618;0,009290884;;;;;;;;;;;;;;;;;;;;;;
146;trois;4497104;0,009277446;;;;;;;;;;;;;;;;;;;;;;
147;ici;4478644;0,009239363;;;;;;;;;;;;;;;;;;;;;;
148;comment;4469935;0,009221397;;;;;;;;;;;;;;;;;;;;;;
149;personne;4465276;0,009211786;;;;;;;;;;;;;;;;;;;;;;
150;bonne;4464686;0,009210568;;;;;;;;;;;;;;;;;;;;;;
151;grande;4409095;0,009095885;;;;;;;;;;;;;;;;;;;;;;
152;mois;4402960;0,009083229;;;;;;;;;;;;;;;;;;;;;;
153;fin;4390098;0,009056695;;;;;;;;;;;;;;;;;;;;;;
154;premi?re;4366893;0,009008823;;;;;;;;;;;;;;;;;;;;;;
155;point;4359840;0,008994273;;;;;;;;;;;;;;;;;;;;;;
156;nouveau;4312075;0,008895735;;;;;;;;;;;;;;;;;;;;;;
157;année;4271764;0,008812574;;;;;;;;;;;;;;;;;;;;;;
158;pendant;4239900;0,008746839;;;;;;;;;;;;;;;;;;;;;;
159;peuvent;4198273;0,008660963;;;;;;;;;;;;;;;;;;;;;;
160;prendre;4192279;0,008648598;;;;;;;;;;;;;;;;;;;;;;
161;souvent;4148366;0,008558006;;;;;;;;;;;;;;;;;;;;;;
162;mal;4105592;0,008469764;;;;;;;;;;;;;;;;;;;;;;
163;enfin;4059322;0,00837431;;;;;;;;;;;;;;;;;;;;;;
164;jours;4047047;0,008348986;;;;;;;;;;;;;;;;;;;;;;
165;effet;4041402;0,008337341;;;;;;;;;;;;;;;;;;;;;;
166;certains;4026938;0,008307502;;;;;;;;;;;;;;;;;;;;;;
167;mieux;4024594;0,008302666;;;;;;;;;;;;;;;;;;;;;;
168;afin;4023055;0,008299491;;;;;;;;;;;;;;;;;;;;;;
169;te;4006287;0,008264899;;;;;;;;;;;;;;;;;;;;;;
170;années;4003660;0,00825948;;;;;;;;;;;;;;;;;;;;;;
171;selon;3988451;0,008228104;;;;;;;;;;;;;;;;;;;;;;
172;eu;3966942;0,008183731;;;;;;;;;;;;;;;;;;;;;;
173;histoire;3966604;0,008183034;;;;;;;;;;;;;;;;;;;;;;
174;surtout;3941968;0,00813221;;;;;;;;;;;;;;;;;;;;;;
175;nouvelle;3939983;0,008128115;;;;;;;;;;;;;;;;;;;;;;
176;compte;3936476;0,00812088;;;;;;;;;;;;;;;;;;;;;;
177;ligne;3928478;0,008104381;;;;;;;;;;;;;;;;;;;;;;
178;lors;3914147;0,008074816;;;;;;;;;;;;;;;;;;;;;;
179;mettre;3912097;0,008070587;;;;;;;;;;;;;;;;;;;;;;
180;jeu;3909167;0,008064542;;;;;;;;;;;;;;;;;;;;;;
181;cours;3885596;0,008015916;;;;;;;;;;;;;;;;;;;;;;
182;avons;3874619;0,007993271;;;;;;;;;;;;;;;;;;;;;;
183;suite;3874411;0,007992841;;;;;;;;;;;;;;;;;;;;;;
184;question;3822591;0,007885938;;;;;;;;;;;;;;;;;;;;;;
185;juste;3818679;0,007877867;;;;;;;;;;;;;;;;;;;;;;
186;prix;3812716;0,007865566;;;;;;;;;;;;;;;;;;;;;;
187;reste;3808830;0,007857549;;;;;;;;;;;;;;;;;;;;;;
188;pouvoir;3805370;0,007850411;;;;;;;;;;;;;;;;;;;;;;
189;enfants;3785788;0,007810014;;;;;;;;;;;;;;;;;;;;;;
190;pourquoi;3774116;0,007785935;;;;;;;;;;;;;;;;;;;;;;
191;exemple;3737291;0,007709965;;;;;;;;;;;;;;;;;;;;;;
192;étaient;3736348;0,00770802;;;;;;;;;;;;;;;;;;;;;;
193;tant;3718521;0,007671243;;;;;;;;;;;;;;;;;;;;;;
194;celui;3682770;0,007597489;;;;;;;;;;;;;;;;;;;;;;
